transactionHash,blockNumber,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamp
0f3184bf91aa1eb7c234406b8f91a44f56dbc9c31c8b413b3cc870aeb7aa7c6c,18542170,0xC6265979793435b496e28e61af1500C22C3ba277,0xBAD2750b1D8054104015eF3199bB3D53703e02C1,0,2970000000000000000,496736335133339708006421,0,2023-11-10 14:34:11
c83df00082dca66a37b83022c07ae619803d0bd88317d3fb15191b60d1080d90,18542170,0xC6265979793435b496e28e61af1500C22C3ba277,0x80A981eCcEE0124166d64eC45D6A86E2354d70DA,0,247500000000000000,19975700159341091718891,0,2023-11-10 14:34:11
d34d45c633feee72d59de07cbf8da4d1f365890acaf71e406b447af07404bd6f,18542170,0xC6265979793435b496e28e61af1500C22C3ba277,0xEf05cd54c0064ac801Cb885990c421407533EC32,0,247500000000000000,18448356977002589634119,0,2023-11-10 14:34:11
8a79e56b4400316ddce06e4031b2db3487fe9ac11c6a62eccf6ffd13f8971998,18542170,0xC6265979793435b496e28e61af1500C22C3ba277,0x3D78E1FCaaaccE87a555B6044bB0a415aedDb38B,0,247500000000000000,17089809860459589168729,0,2023-11-10 14:34:11
1a85d7f81c20f5721754adc141a7e49c5a2a23992a3f7d092c8c57b874d82e6a,18542170,0xC6265979793435b496e28e61af1500C22C3ba277,0x97Ce8b94776967241FEa64708670b3934eD6B9d1,0,247500000000000000,15876064472089334814215,0,2023-11-10 14:34:11
bc5e63456946cb59a1faaea9672633fe73fd6772feb23f55760928440efad9f0,18542170,0xC6265979793435b496e28e61af1500C22C3ba277,0x6E0Bc1a83EA035fD8b09F80d69b858F89924B23c,0,297000000000000000,17624004727971918824331,0,2023-11-10 14:34:11
a4c58700d1023c5e3b44f13cc30586321e07e870ef08484aa924478af241e08c,18542170,0xC6265979793435b496e28e61af1500C22C3ba277,0xB131F5dCac757aE8854eC2aBF21Bf3ED0f9Be7Ff,0,148500000000000000,8282388259713993665904,0,2023-11-10 14:34:11
3ce48ee5c49f34e78b2f593215993873de08662833a168988ccd1c39e8acb16b,18542170,0xC6265979793435b496e28e61af1500C22C3ba277,0x5E04e48D4a51ac7F9160Eb881842aDCcd55DFEd9,0,49500000000000000,2687524654280256377718,0,2023-11-10 14:34:11
d5413adf033e73ca1f7d2377394304fafe45166cf45ee852db02665ced3ca9d0,18542173,0x80a64c6D7f12C47B7c66c5B4E20E72bc1FCd5d9e,0xbaA56bE07Be167D0eFaFFdEFD08689B77C7524fE,0,50000000000000000,2678734260568393193976,0,2023-11-10 14:34:47
8948fff3d7c3514d8c07fbfa4e241f09a688837402498ac2ce74b7655ef81e01,18542174,0x80a64c6D7f12C47B7c66c5B4E20E72bc1FCd5d9e,0xC30CF256dFC731193A4fe2b02c89Bf1815ec70a5,0,100000000000000000,5252005710294257830314,0,2023-11-10 14:34:59
bf6b8b4f92019d87b196743ff0e370971574366dd7e14887e5f53f8d1d0f8896,18542174,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x9FaCe39fC39994Cf483c6240c44a1de56569a8AA,0,485000000000000000,23634543524259092868997,0,2023-11-10 14:34:59
30d9144c439fa434b3eb4410abdabaa7d607ed27030be0e02eae8f80707f3168,18542176,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,81047819635047615270623,0,0,1444601285596607477,2023-11-10 14:35:23
30d9144c439fa434b3eb4410abdabaa7d607ed27030be0e02eae8f80707f3168,18542176,0xC6265979793435b496e28e61af1500C22C3ba277,0xdB5889E35e379Ef0498aaE126fc2CCE1fbD23216,401114590620171814215186,0,0,3145519690079159906,2023-11-10 14:35:23
ef9a1721202c5924f7617a8b496f6fe6fd40284e55fbae5d19e81923230b526f,18542176,0xD2A52F45C74b358ABE1428bC43F0ce9dDf130780,0x45112C776DDee21eED00eb2B920D9BF7EcEA0511,0,250000000000000000,55412664612301747760248,0,2023-11-10 14:35:23
